ticker,year,total_emissions,log_emissions,GICS Sector,ai_exposure,high_ai_exposure,post_chatgpt,treatment
ABBV,2010,201087.658,12.21150117436912,Health Care,65.1,1,0,0
ABBV,2011,200835.466,12.210246253897434,Health Care,65.1,1,0,0
ABBV,2012,190351.388,12.156632307043221,Health Care,65.1,1,0,0
ABBV,2013,185917.646,12.133064469916928,Health Care,65.1,1,0,0
ABBV,2014,183275.246,12.118749834595482,Health Care,65.1,1,0,0
ABBV,2015,169719.19,12.04190641880656,Health Care,65.1,1,0,0
ABBV,2016,159491.92200000002,11.979754824046836,Health Care,65.1,1,0,0
ABBV,2017,148979.598,11.911571361683817,Health Care,65.1,1,0,0
ABBV,2018,154504.092,11.947982332705639,Health Care,65.1,1,0,0
ABBV,2019,154325.934,11.94682857917774,Health Care,65.1,1,0,0
ABBV,2020,128416.176,11.763039430762065,Health Care,65.1,1,0,0
ABBV,2021,128081.35,11.760428695409834,Health Care,65.1,1,0,0
ABBV,2022,106306.578,11.574091850594382,Health Care,65.1,1,0,0
ABBV,2023,99777.824,11.51071125541653,Health Care,65.1,1,1,1
ABT,2010,159571.602,11.98025428259477,Health Care,65.1,1,0,0
ABT,2011,131450.556,11.786393667288424,Health Care,65.1,1,0,0
ABT,2012,111117.596,11.618353342359203,Health Care,65.1,1,0,0
ABT,2013,124024.532,11.72824272661782,Health Care,65.1,1,0,0
ABT,2014,122319.248,11.714397868069822,Health Care,65.1,1,0,0
ABT,2015,113605.568,11.640496600499263,Health Care,65.1,1,0,0
ABT,2016,114673.316,11.649851354764785,Health Care,65.1,1,0,0
ABT,2017,117778.608,11.676570428253934,Health Care,65.1,1,0,0
ABT,2018,114188.668,11.64561609925649,Health Care,65.1,1,0,0
ABT,2019,113542.672,11.639942817226947,Health Care,65.1,1,0,0
ABT,2020,111891.528,11.625294118165268,Health Care,65.1,1,0,0
ABT,2021,135897.736,11.819665299139395,Health Care,65.1,1,0,0
ABT,2022,138440.828,11.838205501938326,Health Care,65.1,1,0,0
ABT,2023,134386.892,11.80848561372719,Health Care,65.1,1,1,1
ADI,2011,166937.0419,12.025378015972095,Information Technology,81.5,1,0,0
ADI,2012,131527.345,11.786977658702904,Information Technology,81.5,1,0,0
