Dimension,Category,Coefficient,SE,P_value,N_firms,Implied_Effect,Sig
Firm Size,Large Emitters,0.49163533999729675,0.1520168221125614,0.0012203308572921769,11,63.49877958301591,***
Firm Size,Small Emitters,0.27573332170876913,0.14177799685205647,0.05179610444868506,17,31.749646946755504,*
Business Type,Hyperscalers,1.149314163413708,0.1489811752921297,1.2146455169571101e-14,4,215.60276480384374,***
Business Type,Other AI Builders,0.22127509218231642,0.1161416725296343,0.056751865616618574,24,24.766660668900364,*
Supply Chain,Cloud Providers,0.6468818788640254,0.19065567437394165,0.0006914861584630524,7,90.9577243091616,***
Supply Chain,Chip Makers,0.3914374358009867,0.11245676994690938,0.0004999533003038735,11,47.91053855693927,***
Supply Chain,DC REITs,-0.30905618119742356,0.4363226563186573,0.4787463929514252,4,-26.58604759698865,
Supply Chain,SaaS Firms,0.41590173313643825,0.3049562752996544,0.1726280789748149,6,51.57369148394599,
Pre-Growth,High Pre-Growth,0.9835568343879388,0.08951572667642102,4.387640242379854e-28,14,167.39501456284444,***
Pre-Growth,Low Pre-Growth,-0.16200030518903488,0.144825698413946,0.2633158955257878,14,-14.955905500505784,
