year,GICS Sector,total_emissions,mean_emissions,n_firms
2010,Consumer Discretionary,1818652.48,363730.5,5
2010,Consumer Staples,17032819.16,1419401.6,12
2010,Energy,133314151.89,10254934.76,13
2010,Financials,44913802.91,14971267.64,3
2010,Health Care,1275378.16,141708.68,9
2010,Industrials,57240360.74,3180020.04,18
2010,Information Technology,720581.96,144116.39,5
2010,Materials,75881330.48,4463607.68,17
2010,Utilities,856927991.81,31738073.77,27
2011,Consumer Discretionary,1893526.8,378705.36,5
2011,Consumer Staples,18466748.97,1538895.75,12
2011,Energy,142485645.96,10960434.3,13
2011,Financials,42539527.15,14179842.38,3
2011,Health Care,1273685.18,141520.58,9
2011,Industrials,51208590.87,2844921.72,18
2011,Information Technology,3726882.22,372688.22,10
2011,Materials,79405516.1,4670912.71,17
2011,Real Estate,24549.08,24549.08,1
2011,Utilities,830305197.14,30752044.34,27
2012,Consumer Discretionary,1850686.88,370137.38,5
2012,Consumer Staples,18572153.34,1547679.44,12
2012,Energy,143553042.85,11042541.76,13
2012,Financials,46287891.79,15429297.26,3
2012,Health Care,1181779.3,131308.81,9
2012,Industrials,48407058.56,2689281.03,18
2012,Information Technology,3402502.89,340250.29,10
2012,Materials,80050032.67,4708825.45,17
2012,Real Estate,30214.34,30214.34,1
2012,Utilities,782300025.79,28974075.03,27
2013,Communication Services,12783.1,12783.1,1
2013,Consumer Discretionary,2064881.82,344146.97,6
2013,Consumer Staples,18128490.79,1510707.57,12
2013,Energy,144355646.49,11104280.5,13
2013,Financials,48551550.8,16183850.27,3
2013,Health Care,1257893.07,139765.9,9
2013,Industrials,46951438.73,2608413.26,18
2013,Information Technology,3364589.64,336458.96,10
2013,Materials,83803565.33,4929621.49,17
2013,Real Estate,28282.92,28282.92,1
2013,Utilities,785042650.42,29075653.72,27
2014,Communication Services,46570.28,46570.28,1
2014,Consumer Discretionary,2068549.66,344758.28,6
2014,Consumer Staples,18453854.88,1537821.24,12
2014,Energy,145949137.91,11226856.76,13
2014,Financials,46229121.06,15409707.02,3
2014,Health Care,1210866.24,134540.69,9
2014,Industrials,44351717.66,2463984.31,18
2014,Information Technology,4003652.98,400365.3,10
2014,Materials,86000589.72,5058858.22,17
2014,Real Estate,35994.9,35994.9,1
2014,Utilities,800941293.38,29664492.35,27
2015,Communication Services,69269.44,69269.44,1
2015,Consumer Discretionary,1930532.65,321755.44,6
2015,Consumer Staples,17987895.55,1498991.3,12
2015,Energy,148600117.52,11430778.27,13
2015,Financials,46933973.66,15644657.89,3
2015,Health Care,1177288.47,130809.83,9
2015,Industrials,43032056.97,2390669.83,18
2015,Information Technology,4068537.68,406853.77,10
2015,Materials,83876636.68,4933919.8,17
2015,Real Estate,36130.31,36130.31,1
2015,Utilities,768821776.76,28474880.62,27
2016,Communication Services,72840.58,72840.58,1
2016,Consumer Discretionary,1927767.15,321294.52,6
2016,Consumer Staples,17427281.01,1452273.42,12
2016,Energy,151522834.58,11655602.66,13
2016,Financials,45236747.23,15078915.74,3
2016,Health Care,1091192.4,121243.6,9
2016,Industrials,41154596.29,2286366.46,18
2016,Information Technology,4044503.34,404450.33,10
2016,Materials,84047938.75,4943996.4,17
2016,Real Estate,36571.18,36571.18,1
2016,Utilities,729432721.25,27016026.71,27
2017,Communication Services,69215.64,69215.64,1
2017,Consumer Discretionary,1871899.39,311983.23,6
2017,Consumer Staples,17573778.93,1464481.58,12
2017,Energy,150928535.01,11609887.31,13
2017,Financials,43721843.11,14573947.7,3
2017,Health Care,1081867.96,120207.55,9
2017,Industrials,38556311.06,2142017.28,18
2017,Information Technology,4013579.82,401357.98,10
2017,Materials,88219133.59,5189360.8,17
2017,Real Estate,34418.56,34418.56,1
2017,Utilities,717969825.21,26591475.01,27
2018,Communication Services,77052.36,77052.36,1
2018,Consumer Discretionary,1798472.64,299745.44,6
2018,Consumer Staples,17864606.76,1488717.23,12
2018,Energy,154570222.77,11890017.14,13
2018,Financials,45622945.45,15207648.48,3
2018,Health Care,1115105.97,123900.66,9
2018,Industrials,40778210.45,2265456.14,18
2018,Information Technology,4223775.76,422377.58,10
2018,Materials,89583236.49,5269602.15,17
2018,Real Estate,35633.09,35633.09,1
2018,Utilities,734967400.66,27221014.84,27
2019,Communication Services,71147.64,71147.64,1
2019,Consumer Discretionary,1794884.1,299147.35,6
2019,Consumer Staples,18015415.33,1501284.61,12
2019,Energy,156337598.58,12025969.12,13
2019,Financials,44664871.95,14888290.65,3
2019,Health Care,1099402.69,122155.85,9
2019,Industrials,40657206.76,2258733.71,18
2019,Information Technology,3941757.94,394175.79,10
2019,Materials,90111711.88,5300688.93,17
2019,Real Estate,35995.44,35995.44,1
2019,Utilities,686587384.9,25429162.4,27
2020,Communication Services,80345.55,80345.55,1
2020,Consumer Discretionary,1482466.31,247077.72,6
2020,Consumer Staples,17162189.31,1430182.44,12
2020,Energy,145826288.28,11217406.79,13
2020,Financials,42870412.22,14290137.41,3
2020,Health Care,1065427.01,118380.78,9
2020,Industrials,38837775.65,2157654.2,18
2020,Information Technology,3881391.4,388139.14,10
2020,Materials,89263191.59,5250775.98,17
2020,Real Estate,33020.18,33020.18,1
2020,Utilities,621088429.36,23003275.16,27
2021,Communication Services,74613.77,74613.77,1
2021,Consumer Discretionary,1561090.34,260181.72,6
2021,Consumer Staples,17533137.28,1461094.77,12
2021,Energy,149990780.58,10713627.18,14
2021,Financials,43280683.65,14426894.55,3
2021,Health Care,1105560.0,110556.0,10
2021,Industrials,38508898.71,2139383.26,18
