ticker,company,GICS_sector,is_builder,is_user,firm_type
MMM,3M,Industrials,False,False,Other
AOS,A. O. Smith,Industrials,False,False,Other
ABT,Abbott Laboratories,Health Care,False,True,User
ABBV,AbbVie,Health Care,False,True,User
ACN,Accenture,Information Technology,False,False,Other
ADBE,Adobe Inc.,Information Technology,False,False,Other
AMD,Advanced Micro Devices,Information Technology,True,False,Builder
AES,AES Corporation,Utilities,False,False,Other
AFL,Aflac,Financials,False,True,User
A,Agilent Technologies,Health Care,False,True,User
APD,Air Products,Materials,False,False,Other
ABNB,Airbnb,Consumer Discretionary,False,True,User
AKAM,Akamai Technologies,Information Technology,False,False,Other
ALB,Albemarle Corporation,Materials,False,False,Other
ARE,Alexandria Real Estate Equities,Real Estate,False,False,Other
ALGN,Align Technology,Health Care,False,True,User
ALLE,Allegion,Industrials,False,False,Other
LNT,Alliant Energy,Utilities,False,False,Other
ALL,Allstate,Financials,False,True,User
GOOGL,Alphabet Inc. (Class A),Communication Services,True,False,Builder
GOOG,Alphabet Inc. (Class C),Communication Services,True,False,Builder
MO,Altria,Consumer Staples,False,False,Other
AMZN,Amazon,Consumer Discretionary,True,False,Builder
AMCR,Amcor,Materials,False,False,Other
AEE,Ameren,Utilities,False,False,Other
AEP,American Electric Power,Utilities,False,False,Other
AXP,American Express,Financials,False,True,User
AIG,American International Group,Financials,False,True,User
AMT,American Tower,Real Estate,True,False,Builder
AWK,American Water Works,Utilities,False,False,Other
AMP,Ameriprise Financial,Financials,False,True,User
AME,Ametek,Industrials,False,False,Other
AMGN,Amgen,Health Care,False,True,User
APH,Amphenol,Information Technology,False,False,Other
ADI,Analog Devices,Information Technology,True,False,Builder
AON,Aon plc,Financials,False,True,User
APA,APA Corporation,Energy,False,False,Other
APO,Apollo Global Management,Financials,False,True,User
AAPL,Apple Inc.,Information Technology,False,False,Other
AMAT,Applied Materials,Information Technology,False,False,Other
APTV,Aptiv,Consumer Discretionary,False,True,User
ACGL,Arch Capital Group,Financials,False,True,User
ADM,Archer Daniels Midland,Consumer Staples,False,False,Other
ANET,Arista Networks,Information Technology,True,False,Builder
AJG,Arthur J. Gallagher & Co.,Financials,False,True,User
AIZ,Assurant,Financials,False,True,User
T,AT&T,Communication Services,False,True,User
ATO,Atmos Energy,Utilities,False,False,Other
ADSK,Autodesk,Information Technology,False,False,Other
ADP,Automatic Data Processing,Industrials,False,False,Other
AZO,AutoZone,Consumer Discretionary,False,True,User
AVB,AvalonBay Communities,Real Estate,False,False,Other
AVY,Avery Dennison,Materials,False,False,Other
AXON,Axon Enterprise,Industrials,False,False,Other
BKR,Baker Hughes,Energy,False,False,Other
BALL,Ball Corporation,Materials,False,False,Other
BAC,Bank of America,Financials,False,True,User
BAX,Baxter International,Health Care,False,True,User
BDX,Becton Dickinson,Health Care,False,True,User
BRK.B,Berkshire Hathaway,Financials,False,True,User
BBY,Best Buy,Consumer Discretionary,False,True,User
TECH,Bio-Techne,Health Care,False,True,User
BIIB,Biogen,Health Care,False,True,User
BLK,BlackRock,Financials,False,True,User
BX,Blackstone Inc.,Financials,False,True,User
XYZ,"Block, Inc.",Financials,False,True,User
BK,BNY Mellon,Financials,False,True,User
BA,Boeing,Industrials,False,False,Other
BKNG,Booking Holdings,Consumer Discretionary,False,True,User
BSX,Boston Scientific,Health Care,False,True,User
BMY,Bristol Myers Squibb,Health Care,False,True,User
AVGO,Broadcom,Information Technology,True,False,Builder
BR,Broadridge Financial Solutions,Industrials,False,False,Other
BRO,Brown & Brown,Financials,False,True,User
BF.B,Brown–Forman,Consumer Staples,False,False,Other
BLDR,Builders FirstSource,Industrials,False,False,Other
BG,Bunge Global,Consumer Staples,False,False,Other
BXP,"BXP, Inc.",Real Estate,False,False,Other
CHRW,C.H. Robinson,Industrials,False,False,Other
CDNS,Cadence Design Systems,Information Technology,False,False,Other
CZR,Caesars Entertainment,Consumer Discretionary,False,True,User
CPT,Camden Property Trust,Real Estate,False,False,Other
CPB,Campbell's Company (The),Consumer Staples,False,False,Other
COF,Capital One,Financials,False,True,User
CAH,Cardinal Health,Health Care,False,True,User
KMX,CarMax,Consumer Discretionary,False,True,User
CCL,Carnival,Consumer Discretionary,False,True,User
CARR,Carrier Global,Industrials,False,False,Other
CAT,Caterpillar Inc.,Industrials,False,False,Other
CBOE,Cboe Global Markets,Financials,False,True,User
CBRE,CBRE Group,Real Estate,False,False,Other
CDW,CDW Corporation,Information Technology,False,False,Other
COR,Cencora,Health Care,False,True,User
CNC,Centene Corporation,Health Care,False,True,User
CNP,CenterPoint Energy,Utilities,False,False,Other
CF,CF Industries,Materials,False,False,Other
CRL,Charles River Laboratories,Health Care,False,True,User
SCHW,Charles Schwab Corporation,Financials,False,True,User
CHTR,Charter Communications,Communication Services,False,True,User
CVX,Chevron Corporation,Energy,False,False,Other
CMG,Chipotle Mexican Grill,Consumer Discretionary,False,True,User
CB,Chubb Limited,Financials,False,True,User
CHD,Church & Dwight,Consumer Staples,False,False,Other
CI,Cigna,Health Care,False,True,User
CINF,Cincinnati Financial,Financials,False,True,User
CTAS,Cintas,Industrials,False,False,Other
CSCO,Cisco,Information Technology,True,False,Builder
C,Citigroup,Financials,False,True,User
CFG,Citizens Financial Group,Financials,False,True,User
CLX,Clorox,Consumer Staples,False,False,Other
CME,CME Group,Financials,False,True,User
CMS,CMS Energy,Utilities,False,False,Other
KO,Coca-Cola Company (The),Consumer Staples,False,False,Other
CTSH,Cognizant,Information Technology,False,False,Other
COIN,Coinbase,Financials,False,True,User
CL,Colgate-Palmolive,Consumer Staples,False,False,Other
CMCSA,Comcast,Communication Services,False,True,User
CAG,Conagra Brands,Consumer Staples,False,False,Other
COP,ConocoPhillips,Energy,False,False,Other
ED,Consolidated Edison,Utilities,False,False,Other
STZ,Constellation Brands,Consumer Staples,False,False,Other
CEG,Constellation Energy,Utilities,False,False,Other
COO,Cooper Companies (The),Health Care,False,True,User
CPRT,Copart,Industrials,False,False,Other
GLW,Corning Inc.,Information Technology,False,False,Other
CPAY,Corpay,Financials,False,True,User
CTVA,Corteva,Materials,False,False,Other
CSGP,CoStar Group,Real Estate,False,False,Other
COST,Costco,Consumer Staples,False,False,Other
CTRA,Coterra,Energy,False,False,Other
CRWD,CrowdStrike,Information Technology,False,False,Other
CCI,Crown Castle,Real Estate,True,False,Builder
CSX,CSX Corporation,Industrials,False,False,Other
CMI,Cummins,Industrials,False,False,Other
CVS,CVS Health,Health Care,False,True,User
