state,commercial_mwh,industrial_mwh,total_mwh,year,egrid_subregion,emission_factor,commercial_scope2_mt,industrial_scope2_mt,total_scope2_mt
AK,2646058.0,1351503.0,5972467.0,2018,AKGD,0.4798291769103065,1269655.8321969318,648490.57208181,2865763.9247339675
AL,23483072.0,33717004.0,90280456.0,2018,SRSO,0.4071717574910869,9561643.697529733,13728611.776014008,36759651.93661674
AR,12278279.0,18064787.0,49602708.0,2018,SRMV,0.36453357041122736,4475844.882375195,6585221.303828324,18081852.24930555
AZ,29683550.0,13994441.0,78346302.0,2018,AZNM,0.35352214894176776,10493792.38422041,4947344.855558781,27697153.04468072
CA,141971927.0,62421108.0,303178968.0,2018,CAMX,0.22646896063720734,32152234.747351475,14136443.450582867,68660625.77002114
CO,21023300.0,16047258.0,56450480.0,2018,RMPA,0.5133460641743248,10792228.310956083,8237796.7350899475,28978631.72875144
CT,21485070.0,5521182.0,43868805.0,2018,NEWE,0.24515789569177457,5267234.549990475,1353561.3608513032,10754783.9203128
DC,15286593.0,385324.0,19561542.0,2018,RFCE,0.2995123876223567,4578523.968041205,115409.31124819697,5858924.149995011
DE,6910658.0,3806969.0,16103475.0,2018,RFCE,0.2995123876223567,2069827.6776215404,1140234.3747942958,4823190.24626693
FL,96265276.0,16689129.0,238565391.0,2018,FRCC,0.37053687256760803,35669834.305897616,6183937.665537371,88397273.88400859
GA,47311675.0,32695791.0,139866074.0,2018,SRSO,0.4071717574910869,19263977.85959712,13312802.684031263,56949515.163958415
HI,3033009.0,3593454.0,9337161.0,2018,HIMS,0.5275580372127623,1600088.2748886428,1895755.5390543495,4925894.3302995525
IA,12417671.0,23952635.0,51210655.0,2018,MROW,0.42792771543395236,5313865.582040443,10249996.374173328,21914458.60002631
ID,6436893.0,8889037.0,23753508.0,2018,NWPP,0.27481924322558987,1768982.0629840968,2442878.4213442677,6527921.092512995
IL,85190276.0,82359111.0,233030633.0,2018,RFCW,0.4562709219729477,38869845.77364988,37578067.50884234,106325101.76684962
IN,24305199.0,45293322.0,104194376.0,2018,RFCW,0.4562709219729477,11089755.556465967,20666025.788157597,47540864.00191598
KS,16168750.0,11681037.0,42036979.0,2018,SPNO,0.43516841904727344,7036129.375470602,5083218.404122706,18293165.692953434
KY,19980485.0,28917429.0,76610636.0,2018,SRVC,0.2838920086001216,5672300.0194546,8209427.002361406,21749147.334172785
LA,24690904.0,37416715.0,94186072.0,2018,SRMV,0.36453357041122736,9000663.391800854,13639648.712009327,34333985.10916893
MA,45293486.0,10871262.0,85100639.0,2018,NEWE,0.24515789569177457,11104055.716304852,2665175.7154339524,20863093.579265364
MD,52139168.0,7294375.0,93865965.0,2018,RFCE,0.2995123876223567,15616326.696323177,2184755.6724628285,28114019.29362657
ME,6878984.0,5743837.0,18146766.0,2018,NEWE,0.24515789569177457,1686437.241937386,1408146.9921165553,4448822.966171041
MI,42831046.0,35770649.0,113740267.0,2018,RFCM,0.5552825430232874,23783332.143227402,19862816.94231341,63157984.7039077
MN,23398557.0,22446853.0,68708382.0,2018,MROW,0.42792771543395236,10012891.041461114,9605630.52297176,29402220.940423295
MO,31179283.0,13389587.0,82055835.0,2018,SRMV,0.36453357041122736,11365895.354852084,4880953.955441754,29912106.505624555
MS,14530226.0,16549315.0,50390068.0,2018,SRMV,0.36453357041122736,5296755.162662046,6032780.884810081,18368871.401304536
MT,5063975.0,7613360.0,17875027.0,2018,NWPP,0.27481924322558987,1391677.7772133064,2092297.833603977,4912401.392776986
NC,49298402.0,27353560.0,138287404.0,2018,SRVC,0.2838920086001216,13995422.364556251,7765457.090763942,39258688.88565649
ND,6835913.0,8700422.0,20669506.0,2018,MROW,0.42792771543395236,2925276.6329952558,3723151.709771299,8845054.481728371
NE,9553396.0,10974088.0,30939492.0,2018,MROW,0.42792771543395236,4088162.9249158585,4696116.406811152,13239866.128247045
NH,7502389.0,3695142.0,16763210.0,2018,NEWE,0.24515789569177457,1839269.899901117,905893.2370022952,4109633.288639312
