"company_name","account_number","country","accounting_year","reporting_period_to","ticker_symbol","isin","industry_activity_group","reported_scope_1_metric_tonnes_co2e","reported_scope_1_source","estimated_scope_1_metric_tonnes_co2e","estimated_scope_1_model_type","estimated_scope_1_model_quality","scope_1_comments","reported_scope_2_metric_tonnes_co2e","reported_scope_2_source","estimated_scope_2_metric_tonnes_co2e","estimated_scope_2_model_type","estimated_scope_2_model_quality","scope_2_comments"
"ACHILLES CORPORATION","51596","Japan","2011",,"5142 JP","JP3108000005","Chemicals",,,"74000","Model 2","2",,,,"71000","Model 2","1",
"ACHILLES CORPORATION","51596","Japan","2012","2013-03-31T00:00:00.000","5142 JP","JP3108000005","Chemicals","21000","CDP Response",,,,,"21000","CDP Response",,,,
"ACHILLES CORPORATION","51596","Japan","2013","2014-03-31T00:00:00.000","5142 JP","JP3108000005","Chemicals",,,"66000","Model 2","2",,,,"74000","Model 2","2",
"Aditya Birla Chemicals India Ltd","55062","India","2011",,"ABCH IN","INE605B01016","Chemicals",,,"3500","Model 2","2",,,,"9500","Model 2","1",
"Aditya Birla Chemicals India Ltd","55062","India","2012",,"ABCH IN","INE605B01016","Chemicals",,,"4700","Model 2","2",,,,"16000","Model 2","1",
"Aditya Birla Chemicals India Ltd","55062","India","2013",,"ABCH IN","INE605B01016","Chemicals",,,"7700","Model 2","2",,,,"17000","Model 2","2",
"AECI Ltd Ord","248","South Africa","2011","2011-12-31T00:00:00.000","AFE SJ","ZAE000000220","Chemicals","329909","CDP Response",,,,,"247569","CDP Response",,,,
"AECI Ltd Ord","248","South Africa","2012","2012-12-31T00:00:00.000","AFE SJ","ZAE000000220","Chemicals","281888","CDP Response",,,,,"224365","CDP Response",,,,
"AECI Ltd Ord","248","South Africa","2013","2013-12-31T00:00:00.000","AFE SJ","ZAE000000220","Chemicals","329822","CDP Response",,,,,"209557","CDP Response",,,,
"Aeon Co., Ltd.","258","Japan","2011","2012-03-31T00:00:00.000","8267 JP","JP3388200002","Food & Staples Retailing","256645","CDP Response",,,,,"3307868","CDP Response",,,,
"Aeon Co., Ltd.","258","Japan","2012",,"8267 JP","JP3388200002","Food & Staples Retailing",,,"450000","Model 2","3",,,,"1400000","Model 2","4",
"Aeon Co., Ltd.","258","Japan","2013","2014-03-31T00:00:00.000","8267 JP","JP3388200002","Food & Staples Retailing","234181","CDP Response",,,,,"2294914","CDP Response",,,,
"Aeroflot","256","Russia","2013",,"AFLT RM","RU0009062285","Air Transportation - Airlines",,,"8400000","Model 3","5",,,,"35000","Model 3","3",
"Aeroflot","256","Russia","2011",,"AFLT RM","RU0009062285","Air Transportation - Airlines",,,"5200000","Model 3","5",,,,"22000","Model 3","3",
"Aeroflot","256","Russia","2012",,"AFLT RM","RU0009062285","Air Transportation - Airlines",,,"7600000","Model 3","5",,,,"32000","Model 3","3",
"African Rainbow Minerals","372","South Africa","2011","2012-06-30T00:00:00.000","ARI SJ","ZAE000054045","Mining - Iron, Aluminum, Other Metals","480420","CDP Response",,,,,"1329785","CDP Response",,,,
"African Rainbow Minerals","372","South Africa","2012","2013-06-30T00:00:00.000","ARI SJ","ZAE000054045","Mining - Iron, Aluminum, Other Metals","327756","CDP Response",,,,,"916424","CDP Response",,,,
"African Rainbow Minerals","372","South Africa","2013","2014-06-30T00:00:00.000","ARI SJ","ZAE000054045","Mining - Iron, Aluminum, Other Metals","307332","CDP Response",,,,,"921325","CDP Response",,,,
"Agrium Inc.","345","Canada","2011","2011-12-31T00:00:00.000","AGU CN","CA0089161081","Chemicals","3441605","CDP Response",,,,,"840000","CSR Report",,,,
"Agrium Inc.","345","Canada","2012","2012-12-31T00:00:00.000","AGU CN","CA0089161081","Chemicals","3807001","CDP Response",,,,,"820000","CSR Report",,,,
"Agrium Inc.","345","Canada","2013","2013-12-31T00:00:00.000","AGU CN","CA0089161081","Chemicals","3640000","CDP Response",,,,,"830000","CDP Response",,,,
"Air Berlin PLC & Co. Luftverkehrs KG","425","Germany","2011",,"AB1 GR","GB00B128C026","Air Transportation - Airlines",,,"5700000","Model 3","5",,,,"25000","Model 3","3",
"Air Berlin PLC & Co. Luftverkehrs KG","425","Germany","2012",,"AB1 GR","GB00B128C026","Air Transportation - Airlines",,,"5200000","Model 3","5",,,,"19000","Model 3","3",
