"company_name","account_number","country","reporting_year","ticker_symbol","isin","disclosure_score","performance_band","parent_account","permission","response_status","scope_1_metric_tonnes_co2e","scope_2_metric_tonnes_co2e","country_location"
"Cheung Kong","3188","Hong Kong","2012","1 HK","HK0001000014",,,,,"NR",,,"(22.396428, 114.109497)"
"Biogen Idec Inc.","1857","USA","2012","BIIB US","US09062X1037","84","B",,"Public","AQ*","46557","54589","(37.09024, -95.712891)"
"Reynolds American Inc.","15774","USA","2012","RAI US","US7617131062","63","D",,"Public","AQ*","113517","180735","(37.09024, -95.712891)"
"Danone","4311","France","2012","BN FP","FR0000120644","97","B",,"Public","AQ*","495998","811259","(46.227638, 2.213749)"
"Volvo","20273","Sweden","2012","VOLVB SS","SE0000115446","56","D",,"Not public","AQ*",,,"(60.128161, 18.643501)"
"Power Financial Corporation","14961","Canada","2012","PWF CN","CA73927C1005","73","D",,"Not public","AQ*",,,"(56.130366, -106.346771)"
"PepsiCo, Inc.","14605","USA","2012","PEP US","US7134481081","94","B",,"Public","AQ*","3980007","2016774","(37.09024, -95.712891)"
"ITC Limited","9535","India","2012","ITC IN","INE154A01025","82","B",,"Public","AQ*","1156677.72","160276.5","(20.593684, 78.96288)"
"Uralkali","20047","Russia","2012","URKA RU","RU0007661302",,,,"Public","DP",,,"(61.52401, 105.318756)"
"Imperial Tobacco Group","8884","United Kingdom","2012","IMT LN","GB0004544929","75","D",,"Public","AQ*","149714","160973","(55.378051, -3.435973)"
"3M Company","285","USA","2012","MMM US","US88579Y1010","68","C",,"Public","AQ*","4060000","2030000","(37.09024, -95.712891)"
"Canon Inc.","2688","Japan","2012","7751 JP","JP3242800005","85","B",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Wal Mart de Mexico","20332","Mexico","2012","WALMEXV MM","MXP810081010","69","C","Wal-Mart Stores, Inc.","Public","AQ*","741226","887178","(23.634501, -102.552784)"
"Procter & Gamble Company","15132","USA","2012","PG US","US7427181091","51","D",,"Public","AQ*","2906000","2923299","(37.09024, -95.712891)"
"State Street Corporation","17690","USA","2012","STT US","US8574771031","71","C",,"Public","AQ*","4890","139007","(37.09024, -95.712891)"
"Equity Residential","5798","USA","2012","EQR US","US29476L1070",,,,,"NR",,,"(37.09024, -95.712891)"
"CLP Holdings Limited","3503","Hong Kong","2012","2 HK","HK0002007356","92","B",,"Public","AQ*","44260000","190000","(22.396428, 114.109497)"
"Holcim Ltd","8525","Switzerland","2012","HOLN VX","CH0012214059","93","B",,"Public","AQ*","106567444","6487851","(46.818188, 8.227512)"
"LVMH","11063","France","2012","MC FP","FR0000121014","65","D",,"Public","AQ*","40890","272546","(46.227638, 2.213749)"
"Newmont Mining Corporation","13117","USA","2012","NEM US","US6516391066","92","C",,"Public","AQ*","4414205.63","1145553.1","(37.09024, -95.712891)"
"Aetna Inc.","356","USA","2012","AET US","US00817Y1082","38",,,"Public","AQ*","7178","54375","(37.09024, -95.712891)"
"TJX Companies, Inc.","19145","USA","2012","TJX US","US8725401090","97","B",,"Public","AQ*","58479","697280","(37.09024, -95.712891)"
"Cognizant Technology Solutions Corp.","3588","USA","2012","CTSH US","US1924461023","68","D",,"Public","AQ*","27829","144629","(37.09024, -95.712891)"
"Itaú Unibanco Holding S.A.","9578","Brazil","2012","ITUB4 BZ","BRITUBACNPR1","76","C",,"Public","AQ*","5915.6","24729.8","(-14.235004, -51.92528)"
"Saipem","16143","Italy","2012","SPM IM","IT0000068525","57","E",,"Not public","AQ*",,,"(41.87194, 12.56738)"
"The Coca-Cola Company","3564","USA","2012","KO US","US1912161007","96","B",,"Public","AQ*","2420996","1308327","(37.09024, -95.712891)"
"Li & Fung Limited","10686","Hong Kong","2012","494 HK","BMG5485F1692","74","B",,"Not public","AQ*",,,"(22.396428, 114.109497)"
"Great-West Lifeco Inc.","7690","Canada","2012","GWO CN","CA39138C1068",,,"Power Financial Corporation",,"SA",,,"(56.130366, -106.346771)"
"Airbus Group","21770","Netherlands","2012","AIR FP","NL0000235190","70","C",,"Public","AQ*","593529.5","455370.7","(52.132633, 5.291266)"
"Sberbank Rossii","16386","Russia","2012","SBER RM","RU0009029540",,,,,"NR",,,"(61.52401, 105.318756)"
"Sasol Limited","16366","South Africa","2012","SOL SJ","ZAE000006896","81","C",,"Public","AQ*","65469000","9308000","(-30.559482, 22.937506)"
