"organization","isin","bbid","ticker","country_hq"
"3M Company","US88579Y1010","EQ0010100100001000","MMM US","USA"
"3Y",,,,"USA"
"Abbott Laboratories","US0028241000","EQ0010000200001000","ABT US","USA"
"Acbel Polytech Inc",,,,"Taiwan"
"ACCIONA S.A.","ES0125220311","EQ0011740600001000","ANA SM","Spain"
"ACUMULADORES MOURA SA",,,,"Brazil"
"Advanced Micro Devices, Inc","US0079031078","EQ0010001000001000","AMD US","USA"
"AECI Ltd Ord","ZAE000000220","EQ0013008400001000","AFE SJ","South Africa"
"Aero Pharma Silvasa",,,,"India"
"AFB International",,,,"USA"
"Ahlstrom Corporation","FI0009010391","EQ0012529400002000","AHL1V FH","Finland"
"Ajinomoto Co.Inc.","JP3119600009","EQ0011329200001000","2802 JP","Japan"
"Akamai Technologies Inc","US00971T1016","EQ0039337400001000","AKAM US","USA"
"AkzoNobel","NL0000009132","EQ0011564800001000","AKZA NA","Netherlands"
"ALBRIGHT & WILSON (AUSTRALIA) LTD",,,,"Australia"
"Alcoa Inc.","US0138171014","EQ0010004600001000","AA US","USA"
"Alfa Packaging",,,,"India"
"Allergan, Inc.","US0184901025","EQ0010003800001000","AGN US","USA"
"Alliance One International Inc.",,,,"USA"
"Allied Electronics Corporation Ltd (Altron)","ZAE000029658","EQ0000000037590295",,"South Africa"
"Alpha Networks",,,,"Taiwan"
"ALPHA NOVATECH",,,,"USA"
"ALPLA",,,,"Austria"
"Alps Electric Co., Ltd.","JP3126400005","EQ0011330000001000","6770 JP","Japan"
"Altera Corp.","US0214411003","EQ0010202600001000","ALTR US","USA"
"Altria Group, Inc.","US02209S1033","EQ0010117200001000","MO US","USA"
"Alumina","AU000000AWC3","EQ0010164500001000","AWC AU","Australia"
"Aluprint Plegadizos, S. de R.L. de C.V.",,,,"Mexico"
"Amcor","AU000000AMC4","EQ0011259500001000","AMC AU","Australia"
"Ameren Corporation","US0236081024","EQ0031309800001000","AEE US","USA"
"American Electric Power Company, Inc.","US0255371017","EQ0010006000001000","AEP US","USA"
"Amgen, Inc.","US0311621009","EQ0010169300001000","AMGN US","USA"
"Amphenol TCS",,,,"USA"
"Amtek Group",,,,"Singapore"
"Anadarko Petroleum Corporation","US0325111070","EQ0010009600001000","APC US","USA"
"Anglo American","GB00B1XZS820","EQ0083398300001000","AAL LN","United Kingdom"
"Anglo American Platinum","ZAE000013181","EQ0011220000001001","AMS SJ","South Africa"
"AngloGold Ashanti","ZAE000043485","EQ0010761400001000","ANG SJ","South Africa"
"Anheuser Busch InBev","BE0003793107","EQ0018059300001000","ABI BB","Belgium"
"Antofagasta","GB0000456144","EQ0011110000001000","ANTO LN","United Kingdom"
"Apache Corporation","US0374111054","EQ0010010400001000","APA US","USA"
"APL Logistics",,,,"USA"
"A.P. Moller - Maersk","DK0010244508","EQ0013612400003000","MAERSKB DC","Denmark"
"APPE",,,,"United Kingdom"
"Applied Materials Inc.","US0382221051","EQ0010203200001000","AMAT US","USA"
"AptarGroup","US0383361039","EQ0011711600001000","ATR US","USA"
"Aquarius Platinum","BMG0440M1284","EQ0086670500001000","AQP AU","Bermuda"
"Arcadyan Germany Technology",,,,"Taiwan"
"Archer Daniels Midland","US0394831020","EQ0010010900001000","ADM US","USA"
"AREEJ VEG. OILS AND DER.SAOG",,,,"Oman"
"A & R GROUP",,,,"Germany"
"ARM Holdings","GB0000595859","EQ0031370700001000","ARM LN","United Kingdom"
"Arrium","AU000000ARI0","EQ0148033200001000","ARI AU","Australia"
"Arvato do Brasil",,,,"Brazil"
"Asahi Glass Co., Ltd.","JP3112000009","EQ0011333200001000","5201 JP","Japan"
"Asahi Group Holdings, Ltd.","JP3116000005","EQ0011332500001000","2502 JP","Japan"
"Ascent/Mitac",,,,"China"
"Ashland Inc.","US0442091049","EQ0010012200001000","ASH US","USA"
"Asia Vital Components Co., LTD",,,,"China"
"Aspen Pharmacare Holdings","ZAE000066692","EQ0013044700001000","APN SJ","South Africa"
"Associated British Foods","GB0006731235","EQ0011112900001000","ABF LN","United Kingdom"
"Astellas Pharma Inc.","JP3942400007","EQ0011517400001000","4503 JP","Japan"
"AstraZeneca","GB0009895292","EQ0011109300001000","AZN LN","United Kingdom"
"ATP Electronics, Inc.",,,,"USA"
"AT&T Inc.","US00206R1023","EQ0010137600001000","T US","USA"
"Autobahn Freight Lines Ltd.",,,,"Canada"
"AUTOGEN CO LTD",,,,"Korea"
"Automatic Data Processing, Inc.","US0530151036","EQ0010013700001000","ADP US","USA"
"Avalon Cosmetcs PVT. Ltd",,,,"India"
"Avery Dennison Corporation","US0536111091","EQ0010014100001000","AVY US","USA"
"Axson Revocoat",,,,"USA"
"Banco Santander","ES0113900J37","EQ0010015800001000","SAN SM","Spain"
"Bank of America","US0605051046","EQ0010103200001000","BAC US","USA"
"Barloworld","ZAE000026639","EQ0011116300001000","BAW SJ","South Africa"
"Barrick Gold Corporation","CA0679011084","EQ0010005500001000","ABX CN","Canada"
"Barry Callebaut AG","CH0009002962","EQ0030073000002000","BARN SW","Switzerland"
"BASF SE","DE000BASF111","EQ0011569400001000","BAS GR","Germany"
"Bayer AG","DE000BAY0017","EQ0011567900001000","BAYN GR","Germany"
"Becton, Dickinson and Co.","US0758871091","EQ0010018300001000","BDX US","USA"
