"organization","isin","bbid","ticker","hq_country","importance_of_water_quality_and_quantity_direct_indirect_use","importance_of_water_quality_and_quantity_importance_rating","importance_of_water_quality_and_quantity_explanation","evaluated_how_water_could_affect_growth_strategy","experienced_detrimental_impacts_related_to_water_this_year","procedures_to_assess_water_risk","geographic_scale_of_assessments","methods_used_to_assess_water_risks","do_you_require_your_key_suppliers_to_report_on_their_water_use_risks_and_management","organization_exposed_to_water_risk","does_water_present_opportunities","highest_level_of_direct_responsibility_for_water","is_water_integrated_into_business_strategy","does_your_organization_have_a_water_policy","subject_to_penalties_and_or_fines","target_and_or_goals"
"3M Company","US88579Y1010","EQ0010100100001000","MMM US","USA",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","No","Yes",,"Yes","Yes, a company-wide water policy","Yes, not significant","Yes, goals only"
"3M Company","US88579Y1010","EQ0010100100001000","MMM US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral","The majority of 3M products in general do not require good quality freshwater (ie for consumption purposes).",,,,"Facility","WBCSD Global Water Tool",,,,"Senior Manager/Officer",,,,
"3M Company","US88579Y1010","EQ0010100100001000","MMM US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Certain 3M operations utilize water for processing and cooling.",,,,"Business unit","Internal company knowledge",,,,,,,,
"3M Company","US88579Y1010","EQ0010100100001000","MMM US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated","3M does not have direct information about our suppliers’ use of water.",,,,,,,,,,,,,
"3M Company","US88579Y1010","EQ0010100100001000","MMM US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","3M does not have direct information about our suppliers’ use of water.",,,,,,,,,,,,,
"3Y",,,,"USA",,,,"Yes, evaluated over the next 5 years","No","Water risks are not assessed",,,"No","Don't know","No",,"No","No","No","No"
"3Y",,,,"USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Not very important",,,,,,,,,,"Senior Manager/Officer",,,,
"3Y",,,,"USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important",,,,,,,,,,,,,,
"3Y",,,,"USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important",,,,,,,,,,,,,,
"3Y",,,,"USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,,,,,,,,,
"A & R GROUP",,,,"Germany",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Yes, direct operations and supply chain","No",,"No","No","No","No"
"A & R GROUP",,,,"Germany","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Depending on printing process:
Offset printing: Very important (Quality)
Rotogravure printing: Not very important
Both printing technoligies are used within group.
All other process steps (die cutting / gluing) not relevant",,,,,,,,,"Other: Factory Managers",,,,
"A & R GROUP",,,,"Germany","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,,,,,,,,,
"A & R GROUP",,,,"Germany","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Depending on printing process:
Offset printing: Very important (Quality)
Rotogravure printing: Not very important
Both printing technoligies are used within group.
All other process steps (die cutting / gluing) not relevant",,,,,,,,,,,,,
"A & R GROUP",,,,"Germany","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all",,,,,,,,,,,,,,
"A.P. Moller - Maersk","DK0010244508","EQ0013612400003000","MAERSKB DC","Denmark",,,,,,,,,,,,,,,,
"A.P. Moller - Maersk","DK0010244508","EQ0013612400003000","MAERSKB DC","Denmark",,,,,,,,,,,,,,,,
"Abbott Laboratories","US0028241000","EQ0010000200001000","ABT US","USA",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","No","No",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"Abbott Laboratories","US0028241000","EQ0010000200001000","ABT US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Being a manufacturer of medical, nutritional and pharmaceutical products it is very important to have high quality water for use in our product in manufacturing our products, in accordance with Good Manufacturing Practices (GMP) requirements.",,,,"Facility","GEMI Local Water Tool",,,,"Senior Manager/Officer",,,,
"Aero Pharma Silvasa",,,,"India",,,,"Yes, evaluated over the next 1 year","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","No","Yes",,"Yes","Yes, a water policy for select facilities only","No","No"
"ETI SODA",,,,"Turkey",,,,,,,,,,,,,,,,
"Abbott Laboratories","US0028241000","EQ0010000200001000","ABT US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Our manufacturing processes require various qualities of water.  In some cases, such as in utilities, lower quality water is safe to use.  To employ good water management practices for cost and conservation purposes, the availability of non-fresh water, such as recycled, etc. are important.",,,,"Region","WBCSD Global Water Tool",,,,,,,,
"CALIX AUTOMOTIVE AB.",,,,"Sweden",,,,,,,,,,,,,,,,
"Abbott Laboratories","US0028241000","EQ0010000200001000","ABT US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","As a healthcare company, to use our products, customers need access to quality fresh water.  Suppliers and third party manufacturers must also have access to quality fresh water to ensure the quality of our products.",,,,,"WRI Aqueduct",,,,,,,,
"Abbott Laboratories","US0028241000","EQ0010000200001000","ABT US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","The value chain requires various qualities of water.  In some cases, such as in utilities, lower quality water is safe to use.  To employ good water management practices for cost and conservation purposes, the availability of non-fresh water, such as recycled, etc. are important.",,,,,"Internal company knowledge",,,,,,,,
"Acbel Polytech Inc",,,,"Taiwan",,,,"Not evaluated","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","No","No",,"Yes","Yes, a water policy for select facilities only","No","Yes, targets only"
"Acbel Polytech Inc",,,,"Taiwan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","sufficient freshwater is suitable for manufacturing , air-condition cooling and living.",,,,"Facility","Internal company knowledge",,,,"Senior Manager/Officer",,,,
"Acbel Polytech Inc",,,,"Taiwan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Have not evaluated",,,,,,,,,,,,,,
"Acbel Polytech Inc",,,,"Taiwan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Acbel Polytech Inc",,,,"Taiwan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"ACCIONA S.A.","ES0125220311","EQ0011740600001000","ANA SM","Spain",,,,"Yes, evaluated over the next 10 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation","Yes, not significant","Yes, targets and goals"
"ACCIONA S.A.","ES0125220311","EQ0011740600001000","ANA SM","Spain","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Quantity: Impact on cooling costs in our solar thermal generation activity and with biomass and in our wine and grape production.",,,,"Country","WBCSD Global Water Tool",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"ACCIONA S.A.","ES0125220311","EQ0011740600001000","ANA SM","Spain","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Quantity: Impact on cooling costs of our biomass generation activities at one of our three facilities.",,,,,,,,,,,,,
"ACCIONA S.A.","ES0125220311","EQ0011740600001000","ANA SM","Spain","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","Quantity: Impact on revenue of hydroelectric generation and water purification (water use is associated with final consumer). Impact on the acquisition costs of herbaceous fuel for electricity generation from biomass, and on the acquisition costs of grapes and grape juice in our winemaking business.
Quality: Impact on the costs associated with our water treatment, desalination and water purification activities (water use is associated with final consumer)",,,,,,,,,,,,,
"ACCIONA S.A.","ES0125220311","EQ0011740600001000","ANA SM","Spain","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important","No dependence of this type of water has been detected in our value chain",,,,,,,,,,,,,
"ACUMULADORES MOURA SA",,,,"Brazil",,,,"Yes, evaluated over the next 10 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation","No","No"
"Aero Pharma Silvasa",,,,"India","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important",,,,,"Region","Internal company knowledge",,,,"Senior Manager/Officer",,,,
"Chicony Power Technology Co.,Ltd.",,,,"China","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","No waste
",,,,,,,,,,,,,
"ACUMULADORES MOURA SA",,,,"Brazil","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral","Although some of our processes require water with high quality, low presence of salts, we already have advanced water treatment system that allows us to capture a lower water quality and use, after treatment, in our units. Thus, we decrease our dependence on the freshwater available in our region.",,,,"River basin","WRI water stress definition",,,,"Other Manager/Officer",,,,
"AFB International",,,,"USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Have not evaluated",,,,,,,,,,"No individual or committee with overall responsibility for water",,,,
"AFB International",,,,"USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Have not evaluated",,,,,,,,,,,,,,
"ACUMULADORES MOURA SA",,,,"Brazil","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Used currently in our units, water from washing the filters in the treatment of Belo Jardim, Compesa water station. This water was left without purpose for having a high presence of salts. So, invest in technology, reverse osmosis, to enable the utilization of this resource and consequently stop using fresh water for public supply is. Moreover, since reuse after treatment, much of our effluent generated",,,,,,,,,,,,,
"ACUMULADORES MOURA SA",,,,"Brazil","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important","We reduce our dependence with respect to freshwater quality through the implementation of advanced water treatments.",,,,,,,,,,,,,
"ACUMULADORES MOURA SA",,,,"Brazil","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","Have we reuse our units in the treated effluent for indirect industrial purposes like washing the floor, for example.",,,,,,,,,,,,,
"Advanced Micro Devices, Inc","US0079031078","EQ0010001000001000","AMD US","USA",,,,"Not evaluated","No","Other",,,"Yes","No","Yes",,"No","Other: AMD has established water reduction goals and a general environmental policy that includes resource conservation.","No","Yes, goals only"
"AkzoNobel","NL0000009132","EQ0011564800001000","AKZA NA","Netherlands",,,,,,,"Facility",,,,,,,,,
"AkzoNobel","NL0000009132","EQ0011564800001000","AKZA NA","Netherlands",,,,,,,"Business unit",,,,,,,,,
"Advanced Micro Devices, Inc","US0079031078","EQ0010001000001000","AMD US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Although AMD manufacturing operations do not use large quantities of water, it is critical that a reliable source of quality water be available across operations.",,,,,,,,,"Other Manager/Officer",,,,
"Advanced Micro Devices, Inc","US0079031078","EQ0010001000001000","AMD US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","AMD does not currently use external sources of recycled or brackish water.",,,,,,,,,,,,,
"Advanced Micro Devices, Inc","US0079031078","EQ0010001000001000","AMD US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Water is critical across our manufacturing supply chain.",,,,,,,,,,,,,
"Advanced Micro Devices, Inc","US0079031078","EQ0010001000001000","AMD US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","AMD has not evaluated the use of external recycled or brackish water by our supply chain.",,,,,,,,,,,,,
"AECI Ltd Ord","ZAE000000220","EQ0013008400001000","AFE SJ","South Africa",,,,"Yes, evaluated over the next 5 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations only","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets only"
"AECI Ltd Ord","ZAE000000220","EQ0013008400001000","AFE SJ","South Africa","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Many of AECI's operations are water intensive, therefore it is imperative that water quality and quantity is considered as part of AECI's strategic objectives.",,,,"Business unit","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"AECI Ltd Ord","ZAE000000220","EQ0013008400001000","AFE SJ","South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","As AECI's operations are located in water scarce areas, water availability may be constrained in future. Therefore AECI has rolled out its Green Gauge Programme of which water conservation (recycling, re-use etc.) is a key component. Future water pricing will significantly impact on operational costs, therefore opportunities for reuse is being investigated.",,,,,,,,,,,,,
