state,year,total_sales_mwh,n_utilities,total_sales_twh
AK,2018,5972467.0,22,5.972467
AK,2019,5818805.0,57,5.818805
AK,2020,5917577.0,13,5.917577
AK,2021,5969339.0,12,5.969339
AK,2022,6002080.0,12,6.00208
AK,2023,6024598.0,12,6.024598
AL,2018,90280456.0,53,90.280456
AL,2019,88095112.0,63,88.095112
AL,2020,83395605.0,47,83.395605
AL,2021,85585166.0,47,85.585166
AL,2022,87027545.0,47,87.027545
AL,2023,84880359.0,47,84.880359
AR,2018,49602708.0,31,49.602708
AR,2019,48093032.0,37,48.093032
AR,2020,45851003.0,29,45.851003
AR,2021,48663142.0,30,48.663142
AR,2022,48997663.0,30,48.997663
AR,2023,48649300.0,31,48.6493
AZ,2018,78346302.0,40,78.346302
AZ,2019,77929170.0,58,77.92917
AZ,2020,81960074.0,32,81.960074
AZ,2021,81219990.0,30,81.21999
AZ,2022,84196517.0,31,84.196517
AZ,2023,85918798.0,32,85.918798
CA,2018,303231797.0,97,303.231797
CA,2019,317296928.0,105,317.296928
CA,2020,320932468.0,85,320.932468
CA,2021,323438528.0,85,323.438528
CA,2022,337229643.0,84,337.229643
CA,2023,326749537.0,89,326.749537
CO,2018,56450480.0,52,56.45048
CO,2019,56520823.0,71,56.520823
CO,2020,56050264.0,44,56.050264
CO,2021,56351209.0,44,56.351209
CO,2022,56763041.0,45,56.763041
CO,2023,55565819.0,45,55.565819
CT,2018,43868805.0,66,43.868805
CT,2019,42135824.0,65,42.135824
CT,2020,40074583.0,57,40.074583
CT,2021,40683653.0,54,40.683653
CT,2022,39132365.0,53,39.132365
CT,2023,39425365.0,41,39.425365
DC,2018,19561542.0,44,19.561542
DC,2019,18935762.0,48,18.935762
DC,2020,16714366.0,49,16.714366
DC,2021,17099169.0,51,17.099169
DC,2022,16712667.0,53,16.712667
DC,2023,16301992.0,51,16.301992
DE,2018,16103475.0,52,16.103475
DE,2019,15629177.0,54,15.629177
DE,2020,15185902.0,49,15.185902
DE,2021,15581702.0,52,15.581702
DE,2022,15095545.0,54,15.095545
DE,2023,15037079.0,52,15.037079
FL,2018,238565391.0,52,238.565391
FL,2019,240347955.0,61,240.347955
