ticker,year,total_emissions,num_facilities,primary_state
ABBV,2023,105705.8012,3,IL
ABT,2023,134386.892,4,AZ
ACGL,2023,7025285.43,4,PA
ADI,2023,117771.628108,3,MA
ADM,2023,10585367.606,18,IA
AEE,2023,19669522.87,11,MO
AEP,2023,50834862.764,25,OK
AES,2023,15677526.79,9,IN
ALB,2023,229671.722,3,TX
AMGN,2023,61780.352,1,PR
APA,2023,1302769.9980000001,13,TX
ATO,2023,130555.092,3,TX
AVGO,2023,34457.051985,1,CO
BAX,2023,43203.836,1,AR
BF.B,2023,90072.76000000001,2,KY
BIIB,2023,28268.192,1,MA
BLK,2023,383163.06,1,FL
BMY,2023,95102.73999999999,2,NJ
BRK.B,2023,79105267.13,117,TX
CAG,2023,112660.176,3,AR
CAT,2023,456901.738,7,IL
CEG,2023,8941320.546,10,MA
CF,2023,20772074.398,8,LA
CMS,2023,27792833.820165552,16,MI
CNP,2023,3741577.852,2,IN
COP,2023,1321893.682,7,AK
CTVA,2023,82753.73999999999,2,CA
CVX,2023,21181799.574,32,LA
CZR,2023,56095.788,1,NV
D,2023,28458582.873999998,27,VA
DAL,2023,1256096.862,2,GA
DE,2023,45075.88,1,IA
DOW,2023,16976174.548,16,TX
DTE,2023,24233789.842,23,MI
DUK,2023,73283559.93,40,NC
DVN,2023,336286.37200000003,6,TX
ED,2023,2463230.61,5,NY
EIX,2023,1056295.236,1,CA
EMN,2023,6094463.184,7,TX
EOG,2023,318787.588,7,TX
ESS,2023,584966.3481901888,6,LA
ETR,2023,45793387.406,27,LA
EVRG,2023,24537349.264,13,KS
F,2023,497625.124,10,MI
FCX,2023,676202.282,5,AZ
FE,2023,15258135.972,2,WV
GEV,2023,9.7,1,MN
GIS,2023,70688.598,2,GA
GLW,2023,177760.332,4,MI
GM,2023,572170.952,14,MI
GS,2023,52140.304,1,SC
HAL,2023,53414.518,2,SD
HCA,2023,33510.724,1,MO
HII,2023,49706.726,1,VA
HRL,2023,58585.68,1,MN
HWM,2023,124137.59400000001,3,OH
IFF,2023,307088.216,7,DE
INTC,2023,790767.5444783,4,OR
IP,2023,5404387.698,28,AL
ITW,2023,35815.816,1,TX
KMB,2023,1030421.2660000001,8,AL
KMI,2023,11645741.036,203,TX
L,2023,1937140.466,41,LA
LIN,2023,10273386.344,22,TX
LLY,2023,47574.076,1,PR
LMT,2023,95794.13399999999,2,CT
LNT,2023,23065317.956,23,IA
LW,2023,413668.974,9,WA
MAR,2023,65853.652,2,NJ
MCHP,2023,472938.201976,3,AZ
MHK,2023,292597.1,7,GA
MLM,2023,3999044.162,4,TX
MMM,2023,1007143.688924,11,MN
MO,2023,66467.196,2,VA
MPC,2023,28964593.373999998,26,ND
MRK,2023,365529.704,3,NJ
MU,2023,303884.3484487,2,ID
NEE,2023,53186894.446,20,FL
NEM,2023,1474699.396,3,NV
NI,2023,4456754.266,3,IN
NOC,2023,110192.27799999999,3,CA
NRG,2023,22878264.124,16,TX
NUE,2023,5761770.626,26,AL
NXPI,2023,151793.425308,2,TX
OKE,2023,3005177.068,32,ND
ON,2023,94446.066805,2,ID
OXY,2023,8112721.41,36,TX
PCG,2023,340079.538,7,CA
PEG,2023,146.3,1,NJ
PEP,2023,317942.602,10,CA
PFE,2023,225796.41,3,CT
PG,2023,1676103.744,10,OH
PNW,2023,13239664.866,8,AZ
PPG,2023,198602.998,3,CA
PPL,2023,26771409.22,6,KY
PSX,2023,31454319.53,63,TX
QCOM,2023,48566.816,2,CA
RSG,2023,10721712.294,177,TX
RTX,2023,154646.258,3,CT
STLD,2023,2569896.58,11,IN
SWKS,2023,24116.71997,1,MA
TAP,2023,414577.044,6,CO
TMO,2023,28392.342,1,NC
TRGP,2023,4304820.6548155425,37,TX
TSLA,2023,80515.196,2,CA
TSN,2023,1874907.486,34,AR
TXN,2023,1057774.335383,5,TX
TXT,2023,55579.572,2,KS
VLO,2023,23535216.552,27,TX
VST,2023,86320993.138,40,TX
VTRS,2023,26031.806,1,PR
WEC,2023,26808088.25,20,WI
WM,2023,11650459.606,225,PA
WY,2023,41144.524,2,MT
XEL,2023,44184964.932,31,CO
XOM,2023,35406994.226,35,TX
