ticker,year,total_emissions,num_facilities,primary_state
ABBV,2010,201087.658,2,IL
ABBV,2011,200835.466,2,IL
ABBV,2012,190351.388,2,IL
ABBV,2013,185917.646,2,IL
ABBV,2014,183275.24599999998,2,IL
ABBV,2015,169719.19,2,IL
ABBV,2016,159491.92200000002,2,IL
ABBV,2017,148979.598,2,IL
ABBV,2018,154504.092,2,IL
ABBV,2019,154325.934,2,IL
ABBV,2020,128416.176,2,IL
ABBV,2021,128081.35,2,IL
ABBV,2022,106306.57800000001,2,IL
ABBV,2023,99777.824,2,IL
ABT,2010,159571.602,3,AZ
ABT,2011,131450.556,3,AZ
ABT,2012,111117.596,3,AZ
ABT,2013,124024.532,3,AZ
ABT,2014,122319.248,3,AZ
ABT,2015,113605.568,3,AZ
ABT,2016,114673.31599999999,3,AZ
ABT,2017,117778.60800000001,3,AZ
ABT,2018,114188.668,3,AZ
ABT,2019,113542.67199999999,3,AZ
ABT,2020,111891.52799999999,3,AZ
ABT,2021,135897.736,4,AZ
ABT,2022,138440.828,4,AZ
ABT,2023,134386.892,4,AZ
ADI,2011,166937.0419,3,MA
ADI,2012,131527.345,3,MA
ADI,2013,142575.7536,3,MA
ADI,2014,104875.177616,3,MA
ADI,2015,101516.96971599999,3,MA
ADI,2016,106702.188537,3,MA
ADI,2017,100497.82792499999,3,MA
ADI,2018,116917.35128899998,3,MA
ADI,2019,107502.862001,3,MA
ADI,2020,120209.243229,3,MA
ADI,2021,125755.58882,3,MA
ADI,2022,137478.719763,3,MA
ADI,2023,117771.628108,3,MA
ADM,2010,11059742.25,12,IA
ADM,2011,11864361.838,12,IA
ADM,2012,12102467.826,14,IA
ADM,2013,11858633.370000001,14,IA
ADM,2014,12172823.6,14,IA
ADM,2015,11918933.204,16,IA
ADM,2016,11542075.272,16,IA
ADM,2017,11813335.827,16,IA
ADM,2018,11844715.469999999,16,IA
ADM,2019,11883748.855999999,17,IA
ADM,2020,10780502.382,17,IA
ADM,2021,11235810.822,18,IA
ADM,2022,11371895.922,18,IA
ADM,2023,10585367.606,18,IA
AEE,2010,36276990.976,11,MO
AEE,2011,37260492.019999996,11,MO
AEE,2012,30296483.711999997,11,MO
AEE,2013,29969822.632,11,MO
AEE,2014,30432530.624,11,MO
AEE,2015,28319298.842,11,MO
AEE,2016,26596742.244,11,MO
AEE,2017,29995757.76,11,MO
AEE,2018,29344947.722,11,MO
AEE,2019,24205850.4,11,MO
AEE,2020,25759240.166,11,MO
AEE,2021,27981534.718000002,11,MO
AEE,2022,24745347.054,11,MO
AEE,2023,19669522.87,11,MO
AEP,2010,99955186.222,23,OK
AEP,2011,101053947.89,23,OK
AEP,2012,90432275.756,24,OK
AEP,2013,83138055.178,24,OK
AEP,2014,89248888.934,24,OK
AEP,2015,75384167.886,24,OK
AEP,2016,70978607.946,24,OK
AEP,2017,70780956.37200001,24,OK
AEP,2018,70410535.89,24,OK
AEP,2019,61457626.066,24,OK
AEP,2020,47943299.814,24,OK
AEP,2021,57953296.248,24,OK
AEP,2022,54588657.346,24,OK
AEP,2023,47932477.914,24,OK
AES,2010,21806276.498,9,IN
AES,2011,21454356.034,9,IN
AES,2012,20581387.560000002,9,IN
AES,2013,21798640.096,9,IN
AES,2014,22406117.98,9,IN
AES,2015,19115442.956,9,IN
AES,2016,17614022.31,9,IN
AES,2017,15690195.528,9,IN
AES,2018,16636602.256000001,9,IN
AES,2019,18311677.888,9,IN
AES,2020,15635681.748,9,IN
AES,2021,18539335.316,9,IN
AES,2022,18959295.623999998,9,IN
AES,2023,15677526.79,9,IN
ALB,2010,309466.2,4,TX
ALB,2011,312218.77999999997,4,TX
ALB,2012,295572.492,4,TX
ALB,2013,274804.538,4,TX
ALB,2014,309379.306,4,TX
ALB,2015,294294.964,4,TX
ALB,2016,280559.422,4,TX
ALB,2017,292780.83999999997,4,TX
ALB,2018,295958.73,4,TX
ALB,2019,300141.22,4,TX
ALB,2020,297095.734,4,TX
ALB,2021,290355.86199999996,4,TX
ALB,2022,297765.49199999997,4,TX
ALB,2023,290882.972,4,TX
AMGN,2010,27381.406,1,PR
AMGN,2011,28911.132,1,PR
AMGN,2012,27348.258,1,PR
AMGN,2013,28273.752,1,PR
AMGN,2014,28997.18,1,PR
AMGN,2015,31530.738,1,PR
AMGN,2016,28167.744,1,PR
AMGN,2017,28148.594,1,PR
AMGN,2018,25065.296,1,PR
AMGN,2019,35993.516,1,PR
AMGN,2020,49616.696,1,PR
AMGN,2021,41579.632,1,PR
AMGN,2022,36979.004,1,PR
AMGN,2023,61780.352,1,PR
APA,2021,138781.682,1,TX
APA,2022,135699.842,1,TX
APA,2023,125913.78,1,TX
APD,2010,8603962.67,16,CA
APD,2011,9283229.038,17,CA
APD,2012,9825870.252,19,LA
APD,2013,10712115.424,19,LA
APD,2014,11412856.964,20,LA
APD,2015,11407199.552,20,LA
APD,2016,11545450.156,20,LA
APD,2017,11702932.658,20,LA
APD,2018,11867543.422,21,LA
APD,2019,12168429.054,21,LA
APD,2020,11036496.256000001,22,LA
APD,2021,12455740.833999999,25,LA
APD,2022,13342137.824,26,CA
APD,2023,14072905.322,27,CA
ATO,2010,35044.568,1,TX
ATO,2011,38919.492,1,TX
ATO,2012,73394.936,1,TX
ATO,2013,57192.964,1,TX
ATO,2014,53240.13,1,TX
ATO,2015,49409.726,1,TX
ATO,2016,45016.342,1,TX
ATO,2017,50917.822,1,TX
ATO,2018,44500.698,1,TX
ATO,2019,131647.468,3,TX
ATO,2020,141033.134,3,TX
ATO,2021,135293.412,3,TX
ATO,2022,133303.636,3,TX
ATO,2023,130555.092,3,TX
AVGO,2011,40621.654,1,CO
AVGO,2012,58920.487,1,CO
AVGO,2013,94031.929,1,CO
AVGO,2014,213562.45988,1,CO
AVGO,2015,288703.708578,1,CO
AVGO,2016,306331.515775,1,CO
AVGO,2017,201755.514062,1,CO
AVGO,2018,172334.225758,1,CO
AVGO,2019,182824.213364,1,CO
AVGO,2020,139671.188379,1,CO
AVGO,2021,125323.092167,1,CO
AVGO,2022,78584.468743,1,CO
AVGO,2023,34457.051985,1,CO
BA,2010,155923.814,4,WA
BA,2011,168592.24199999997,4,WA
BA,2012,161982.028,4,WA
BA,2013,164168.174,4,WA
BA,2014,165639.588,4,WA
BA,2015,152514.548,4,WA
BA,2016,161552.06799999997,4,WA
BA,2017,167443.146,4,WA
BA,2018,161902.016,4,WA
BA,2019,174933.376,4,WA
BA,2020,154943.394,4,WA
BA,2021,156991.05800000002,4,WA
BA,2022,158302.1,4,WA
BA,2023,151144.822,4,WA
BAX,2022,39606.0,1,AR
BAX,2023,43203.836,1,AR
BF.B,2010,46217.392,1,KY
BF.B,2011,47726.612,1,KY
BF.B,2012,43578.058,1,KY
BF.B,2013,47951.154,1,KY
BF.B,2014,42790.828,1,KY
BF.B,2015,45737.036,1,KY
BF.B,2016,42268.736,1,KY
BF.B,2017,32372.696,1,KY
BF.B,2018,58824.412,2,KY
BF.B,2019,57437.848,2,KY
BF.B,2020,56994.348,2,KY
BF.B,2021,70601.044,2,KY
BF.B,2022,94436.992,2,KY
BF.B,2023,90072.76000000001,2,KY
BIIB,2010,35793.65,1,MA
BIIB,2011,33966.38,1,MA
BIIB,2012,30243.688,1,MA
BIIB,2013,76311.964,1,MA
BIIB,2014,31908.226,1,MA
BIIB,2015,32786.224,1,MA
BIIB,2016,28958.892,1,MA
BIIB,2017,29926.634,1,MA
BIIB,2018,30257.788,1,MA
BIIB,2019,29570.338,1,MA
BIIB,2020,27100.996,1,MA
BIIB,2021,29388.44,1,MA
BIIB,2022,29755.04,1,MA
BIIB,2023,28268.192,1,MA
BMY,2010,100193.01800000001,2,NJ
BMY,2011,97630.918,2,NJ
BMY,2012,93385.292,2,NJ
BMY,2013,103457.356,2,NJ
BMY,2014,100091.20199999999,2,NJ
BMY,2015,95830.95,2,NJ
BMY,2016,93792.57800000001,2,NJ
BMY,2017,97711.98000000001,2,NJ
BMY,2018,93262.324,2,NJ
BMY,2019,84259.166,2,NJ
BMY,2020,83474.864,2,NJ
BMY,2021,90192.85800000001,2,NJ
BMY,2022,91669.24799999999,2,NJ
BMY,2023,95102.73999999999,2,NJ
BRK.B,2010,43835284.563990004,64,NV
BRK.B,2011,40613260.872829996,72,NV
BRK.B,2012,44207380.444,75,NV
BRK.B,2013,46531561.774,83,NV
BRK.B,2014,44541174.762,85,NV
BRK.B,2015,45262051.794,89,NV
BRK.B,2016,43694034.17,89,NV
BRK.B,2017,41661692.924,91,OH
BRK.B,2018,43181593.554,99,TX
BRK.B,2019,42136369.422,99,TX
BRK.B,2020,40552566.762,101,TX
BRK.B,2021,40999667.638000004,103,TX
BRK.B,2022,39828496.218,105,TX
BRK.B,2023,36757318.922,105,TX
CAG,2010,112640.324,2,CA
CAG,2011,105619.45199999999,2,CA
CAG,2012,98928.376,2,CA
CAG,2013,102370.564,2,CA
CAG,2014,108596.44,2,CA
CAG,2015,107285.49600000001,2,CA
CAG,2016,103151.312,2,CA
CAG,2017,86053.676,2,CA
CAG,2018,93499.348,2,CA
CAG,2019,123699.984,3,AR
CAG,2020,140014.872,3,AR
CAG,2021,143519.70799999998,3,AR
CAG,2022,158389.452,3,AR
CAG,2023,112660.176,3,AR
CAT,2010,328755.212,6,IL
CAT,2011,524091.99,6,IL
CAT,2012,502000.01399999997,6,IL
CAT,2013,512399.052,6,IL
CAT,2014,494806.18,6,IL
CAT,2015,464088.64999999997,6,IL
CAT,2016,441832.266,6,IL
CAT,2017,488605.14400000003,6,IL
CAT,2018,531956.56,7,IL
CAT,2019,537013.652,7,IL
CAT,2020,459261.132,7,IL
CAT,2021,471626.77599999995,7,IL
CAT,2022,479805.40599999996,7,IL
CAT,2023,456901.738,7,IL
CEG,2010,7718209.875999999,8,MA
CEG,2011,6500671.6280000005,8,MA
CEG,2012,6213022.967999999,8,MA
CEG,2013,4789616.42,8,MA
CEG,2014,3268565.446,8,MA
CEG,2015,4054841.558,8,MA
CEG,2016,5913163.186,8,MA
CEG,2017,7199363.757999999,10,MA
CEG,2018,8154254.918,10,MA
CEG,2019,8092826.764,10,MA
CEG,2020,7509770.68,10,MA
CEG,2021,7665565.058,10,MA
CEG,2022,8247705.788000001,10,MA
CEG,2023,8941320.546,10,MA
CF,2010,14820297.766,5,OK
CF,2011,14681864.796,5,OK
CF,2012,14913768.162,5,OK
CF,2013,15024892.678,5,OK
CF,2014,14658857.686,5,OK
CF,2015,16138570.878,5,OK
CF,2016,16427558.374,6,LA
CF,2017,20108662.888,6,LA
CF,2018,19945452.682,6,LA
CF,2019,20985495.304,6,LA
CF,2020,20621153.56,6,LA
CF,2021,18956070.078,6,LA
CF,2022,20703034.516,6,LA
CF,2023,20579424.174,6,LA
CMS,2010,9012035.286,8,MI
CMS,2011,8649024.481999999,8,MI
CMS,2012,10254407.85,8,MI
CMS,2013,8807316.348,8,MI
CMS,2014,8340563.284,9,MI
CMS,2015,10040895.592,9,MI
CMS,2016,11377669.43,9,MI
CMS,2017,10860688.884,9,MI
CMS,2018,11119740.618,9,MI
CMS,2019,11073913.442,9,MI
CMS,2020,10505380.256,9,MI
CMS,2021,11623815.742,9,MI
CMS,2022,12226466.656,9,MI
CMS,2023,10198676.14,9,MI
CNP,2010,4404956.876,2,IN
CNP,2011,4076896.9280000003,2,IN
CNP,2012,4514767.392,2,IN
CNP,2013,4708635.5940000005,2,IN
CNP,2014,4960186.318,2,IN
CNP,2015,4307398.786,2,IN
CNP,2016,3702865.974,2,IN
CNP,2017,4356177.198000001,2,IN
CNP,2018,5026967.434,2,IN
CNP,2019,4475951.516,2,IN
CNP,2020,3537566.934,2,IN
CNP,2021,5514933.164,2,IN
CNP,2022,4352488.256,2,IN
CNP,2023,3741577.852,2,IN
COP,2010,614938.772,2,AK
