facility_id,facility_name,total_emissions,naics_code,state,latitude,longitude,year,parent_company,ownership_pct,clean_parent,ticker
1003188,3M BROWNWOOD,22883.364,326113.0,TX,31.671177,-98.996513,2023,3M CO,100.0,3M,MMM
1005043,3M CO,77908.786,541715.0,MN,44.951,-92.9959,2023,3M CO,100.0,3M,MMM
1003739,3M CO - GUIN,30098.14,326113.0,AL,33.96548,-87.89936,2023,3M CO,100.0,3M,MMM
1007698,3M CO - WAUSAU DOWNTOWN,35940.864,212313.0,WI,44.95018,-89.63766,2023,3M CO,100.0,3M,MMM
1006665,3M Chemical Operations' Cordova Facility,637396.821,325998.0,IL,41.755,-90.284167,2023,3M CO,100.0,3M,MMM
1004836,3M Chemical Operations' Cottage Grove Facility,20824.978,325998.0,MN,44.789444,-92.908333,2023,3M CO,100.0,3M,MMM
1004206,3M Chemical Operations' Decatur Facility,37564.427924,325211.0,AL,34.641667,-87.038611,2023,3M CO,100.0,3M,MMM
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,32128.98,327999.0,AR,34.70537,-92.24607,2023,3M CO,100.0,3M,MMM
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,53952.548,326199.0,MN,44.879677,-94.359598,2023,3M CO,100.0,3M,MMM
1004804,3M NEVADA PLANT,31394.032,326113.0,MO,37.834476,-94.330625,2023,3M CO,100.0,3M,MMM
1013282,3M Pittsboro,27050.748,327999.0,NC,35.660546,-79.176782,2023,3M CO,100.0,3M,MMM
1000766,59th Street,174671.338,221330.0,NY,40.7711,-73.9911,2023,CONSOLIDATED EDISON INC,100.0,CONSOLIDATED EDISON,ED
1000767,74th Street,251175.596,221330.0,NY,40.768,-73.9515,2023,CONSOLIDATED EDISON INC,100.0,CONSOLIDATED EDISON,ED
1001033,A B Brown Generating Station,1982200.776,221112.0,IN,37.9053,-87.715,2023,CENTERPOINT ENERGY INC,100.0,CENTERPOINT ENERGY,CNP
1013527,A.J. Mihm Generating Station,106545.348,221112.0,MI,46.793722,-88.616566,2023,WEC Energy Group Inc,100.0,WEC ENERGY,WEC
1002983,ABBOTT PARK FACILITY,53455.748,424210.0,IL,42.30227,-87.89065,2023,ABBOTT LABORATORIES,100.0,ABBOTT LABORATORIES,ABT
1007514,ABBVIE LTD.,61699.468,325412.0,PR,18.433237,-66.570509,2023,ABBVIE INC,100.0,ABBVIE,ABBV
1005601,ACME BRICK CO ELGIN PLANT,27873.496,327120.0,TX,30.32903,-97.29207,2023,BERKSHIRE HATHAWAY INC,100.0,BERKSHIRE HATHAWAY,BRK.B
1002154,ADM - MANKATO,80346.546,311225.0,MN,44.186805,-93.995493,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1006208,ADM CORN PROCESSING,1945776.984,311221.0,IA,41.8196,-90.2122,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1006047,ADM CORN PROCESSING,2746519.158,311221.0,IA,41.9192,-91.6862,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1010610,ADM Deerfield,40707.396,311224.0,MO,37.80725,-94.585301,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1011855,ADM Fostoria,29827.488,311224.0,OH,41.1494,-83.43295,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1000376,ADM QUINCY,112816.476,311224.0,IL,39.903884,-91.410552,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1006080,ADM SOUTHERN CELLULOSE PROD.IN,18139.632,322110.0,TN,34.997921,-85.318581,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1000034,ADM SOYBEAN PROCESSING - DES MOINES,108458.352,311224.0,IA,41.626329,-93.583205,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1014236,ADM Southport,82308.14,325199.0,NC,33.94516,-78.00117,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1011961,ADM Valdosta,62577.408,311224.0,GA,30.8325,-83.248056,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1001991,ADRIAN LANDFILL,5171.25,562212.0,MI,41.885177,-84.059029,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1001633,ADS-CEDAR HILL LANDFILL,21816.75,562212.0,AL,33.6845,-86.2525,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1001636,ADS-PECAN ROW-EVERGREEN LANDFILLS,46720.5,562212.0,GA,30.81425,-83.35981,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1006790,ADS-STAR RIDGE LANDFILL,18145.0,562212.0,AL,33.607092,-86.507602,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1002094,ADS/MCLEAN COUNTY LANDFILL,3069.5,562212.0,IL,40.465534,-89.03273,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1001845,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,22229.344,562212.0,WI,44.4093,-89.854855,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1003038,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",26771.15,562212.0,MO,39.73376,-92.53825,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1006979,ADVANCED DISPOSAL OAK RIDGE LANDFILL,3571.0,562212.0,MO,38.556639,-90.527306,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1001637,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,129482.398,562212.0,IL,42.14,-89.085,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1006963,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,29066.948,562212.0,IL,39.822266,-89.043754,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1005310,AES - PUERTO RICO COGENERATION PLANT,3170977.366,221112.0,PR,17.945,-66.15027,2023,AES CORP,100.0,AES,AES
1001444,AES Alamitos,1519041.82,221112.0,CA,33.7688,-118.1009,2023,AES CORP,100.0,AES,AES
1001447,AES Huntington Beach,1275616.224,221112.0,CA,33.6436,-117.9788,2023,AES CORP,100.0,AES,AES
1001450,AES Redondo Beach,268949.704,221112.0,CA,33.8504,-118.395,2023,AES CORP,100.0,AES,AES
1001223,AES Warrior Run,781434.252,221112.0,MD,39.5944,-78.7456,2023,AES CORP,100.0,AES,AES
1005284,AGRI ENERGY LLC,9.7,325199.0,MN,43.648333,-96.224444,2023,GEVO INC,100.0,GEVO,GEV
1006088,AKRON REGIONAL LANDFILL *,1532.75,562212.0,OH,41.151282,-81.559298,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1007272,ALADDIN MILLS - ANTIOCH RD PLA NT,35442.616,314110.0,GA,34.73399,-84.94646,2023,MOHAWK INDUSTRIES INC,100.0,MOHAWK INDUSTRIES,MHK
1003402,ALBEMARLE CORPORATION HOUSTON PLANT,43255.924,325199.0,TX,29.742498,-95.165513,2023,ALBEMARLE CORP,100.0,ALBEMARLE,ALB
1004307,ALBEMARLE CORPORATION-SOUTH PLANT,73523.124,325180.0,AR,33.1756,-93.2169,2023,ALBEMARLE CORP,100.0,ALBEMARLE,ALB
1005862,ALLEGANY BALLISTICS LABORATORY,23245.064,336415.0,WV,39.56097,-78.84361,2023,NORTHROP GRUMMAN CORP,100.0,NORTHROP GRUMMAN,NOC
1007645,ALLIANCE SANI LDFL,47985.198,562212.0,PA,41.3965,-75.7375,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1006197,ALLIED IMPERIAL LANDFILL,40169.25,562212.0,CA,32.854701,-115.52505,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1001962,AMERICAS STYRENICS LLC - ST JAMES PLANT,771321.482,325110.0,LA,30.08013,-90.916,2023,CHEVRON CORP,50.0,CHEVRON,CVX
1005072,"AMGEN MANUFACTURING, LIMITED",61780.352,325412.0,PR,18.2375,-65.907222,2023,AMGEN INC,100.0,AMGEN,AMGN
1004746,ANALOG DEVICES,18420.963379,334413.0,WA,45.59995,-122.45204,2023,ANALOG DEVICES INC,100.0,ANALOG DEVICES,ADI
1007839,ANDERSON LANDFILL,29169.5,562212.0,CA,40.41754,-122.35787,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1002515,ARTESIA GAS PLANT,91378.946,211130.0,NM,32.7564,-104.2111,2023,PHILLIPS 66,86.8,PHILLIPS 66,PSX
1007710,ANTELOPE VALLEY RECYCLING AND DISPOSAL FACILITY,67443.25,562212.0,CA,34.5697,-118.1534,2023,WASTE MANAGEMENT INC,100.0,WASTE MANAGEMENT,WM
1004003,APACHE JUNCTION LANDFILL,32298.0,562212.0,AZ,33.377246,-111.528771,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1001908,APACHE NITROGEN PRODUCTS - PLANT,415928.616,325311.0,AZ,31.88,-110.24,2023,FREEPORT-MCMORAN INC,50.0,FREEPORT MCMORAN,FCX
1004352,APEX REGIONAL LANDFILL,74585.094,562212.0,NV,36.29423,-115.28183,2023,REPUBLIC SERVICES INC,100.0,REPUBLIC SERVICES,RSG
1001423,APS Saguaro Power Plant,127427.224,221112.0,AZ,32.5517,-111.3,2023,PINNACLE WEST CAPITAL CORP,100.0,PINNACLE WEST CAPITAL,PNW
1001422,APS West Phoenix Power Plant,1413916.988,221112.0,AZ,33.4417,-112.1583,2023,PINNACLE WEST CAPITAL CORP,100.0,PINNACLE WEST CAPITAL,PNW
1002916,ARCHER DANIEL MIDLAND COMPANY,1115108.488,311221.0,NE,41.42139,-97.288612,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
1001945,ARCHER DANIELS MIDLAND,165658.676,311221.0,MN,44.47056,-95.78417,2023,ARCHER DANIELS MIDLAND CO,100.0,ARCHER DANIELS MIDLAND,ADM
