ticker,company,sector,year,scope1_mt,scope2_location_mt,scope2_market_mt,total_mt,source_url,notes
MSFT,Microsoft,Technology,2019,123000,4010000,0,4133000,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,
MSFT,Microsoft,Technology,2020,116000,4440000,0,4556000,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,
MSFT,Microsoft,Technology,2021,114000,5200000,0,5314000,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,
MSFT,Microsoft,Technology,2022,125000,6100000,0,6225000,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,
MSFT,Microsoft,Technology,2023,130000,7100000,450000,7230000,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report,
GOOGL,Alphabet,Technology,2019,80000,5100000,0,5180000,https://sustainability.google/reports/,
GOOGL,Alphabet,Technology,2020,70000,4560000,0,4630000,https://sustainability.google/reports/,
GOOGL,Alphabet,Technology,2021,73000,5380000,0,5453000,https://sustainability.google/reports/,
GOOGL,Alphabet,Technology,2022,78000,6240000,0,6318000,https://sustainability.google/reports/,
GOOGL,Alphabet,Technology,2023,84000,7480000,0,7564000,https://sustainability.google/reports/,
META,Meta Platforms,Technology,2019,48000,1180000,0,1228000,https://sustainability.fb.com/,
META,Meta Platforms,Technology,2020,52000,1380000,0,1432000,https://sustainability.fb.com/,
META,Meta Platforms,Technology,2021,56000,2140000,0,2196000,https://sustainability.fb.com/,
META,Meta Platforms,Technology,2022,58000,2890000,0,2948000,https://sustainability.fb.com/,
META,Meta Platforms,Technology,2023,53000,3810000,0,3863000,https://sustainability.fb.com/,
AMZN,Amazon,Consumer Discretionary,2019,9120000,5170000,1800000,14290000,https://sustainability.aboutamazon.com/,Delivery fleet drives Scope 1
AMZN,Amazon,Consumer Discretionary,2020,10200000,6080000,2100000,16280000,https://sustainability.aboutamazon.com/,
AMZN,Amazon,Consumer Discretionary,2021,12400000,7650000,2500000,20050000,https://sustainability.aboutamazon.com/,
AMZN,Amazon,Consumer Discretionary,2022,15100000,8890000,2900000,23990000,https://sustainability.aboutamazon.com/,
AMZN,Amazon,Consumer Discretionary,2023,17000000,10200000,3580000,27200000,https://sustainability.aboutamazon.com/,
AAPL,Apple,Technology,2019,55000,410000,0,465000,https://www.apple.com/environment/,Supply chain is Scope 3
AAPL,Apple,Technology,2020,52000,420000,0,472000,https://www.apple.com/environment/,
AAPL,Apple,Technology,2021,50000,450000,0,500000,https://www.apple.com/environment/,
AAPL,Apple,Technology,2022,48000,480000,0,528000,https://www.apple.com/environment/,
AAPL,Apple,Technology,2023,47000,510000,0,557000,https://www.apple.com/environment/,
NVDA,NVIDIA,Technology,2019,,,,,https://www.nvidia.com/en-us/csr/,Fabless - minimal direct emissions
NVDA,NVIDIA,Technology,2020,,,,,https://www.nvidia.com/en-us/csr/,
NVDA,NVIDIA,Technology,2021,,,,,https://www.nvidia.com/en-us/csr/,
NVDA,NVIDIA,Technology,2022,,,,,https://www.nvidia.com/en-us/csr/,
NVDA,NVIDIA,Technology,2023,15000,45000,0,60000,https://www.nvidia.com/en-us/csr/,
