ticker,cik,filing_date,filing_year,word_count,total_ai_keywords,ai_intensity,artificial intelligence,machine learning,deep learning,neural network,natural language processing,computer vision,generative ai,large language model,chatgpt,automation,algorithmic,predictive analytics,data science,ai-powered,ai-driven,intelligent automation
MMM,0000066740,2026-02-03,2026,77230,7,0.9063835297164314,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MMM,0000066740,2025-02-05,2025,86126,9,1.0449806098042402,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MMM,0000066740,2024-02-07,2024,82636,3,0.3630379011568808,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MMM,0000066740,2023-02-08,2023,87651,2,0.228177659125395,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MMM,0000066740,2022-02-09,2022,87649,5,0.5704571643715274,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MMM,0000066740,2021-02-04,2021,105842,7,0.6613631639613763,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MMM,0000066740,2020-02-06,2020,103141,5,0.4847732715409003,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MMM,0000066740,2019-02-07,2019,92391,4,0.4329426026344558,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMM,0000066740,2018-02-08,2018,92877,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,0000091142,2026-02-10,2026,36082,3,0.8314394989191286,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,0000091142,2025-02-11,2025,39283,3,0.7636891276124533,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,0000091142,2024-02-13,2024,37118,3,0.8082332022199472,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,0000091142,2023-02-14,2023,36527,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,0000091142,2022-02-11,2022,36224,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,0000091142,2021-02-12,2021,37137,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,0000091142,2020-02-24,2020,45146,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,0000091142,2019-02-15,2019,38070,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOS,0000091142,2018-02-16,2018,37884,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABT,0000001800,2025-02-21,2025,52520,4,0.7616146230007615,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ABT,0000001800,2024-02-16,2024,53625,4,0.7459207459207459,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ABT,0000001800,2023-02-17,2023,52075,3,0.5760921747479597,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ABT,0000001800,2022-02-18,2022,56564,3,0.5303726751997737,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ABT,0000001800,2021-02-19,2021,56024,3,0.5354847922319006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ABT,0000001800,2020-02-21,2020,61942,3,0.4843240450744245,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ABT,0000001800,2019-02-22,2019,59910,3,0.5007511266900351,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ABT,0000001800,2018-02-16,2018,60360,2,0.3313452617627568,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ABBV,0001551152,2025-02-14,2025,70048,2,0.28551850159890363,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,0001551152,2024-02-20,2024,67492,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,0001551152,2023-02-17,2023,66889,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,0001551152,2022-02-18,2022,68124,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,0001551152,2021-02-19,2021,68627,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,0001551152,2020-02-21,2020,62998,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,0001551152,2019-02-27,2019,58012,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBV,0001551152,2018-02-16,2018,59028,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACN,0001467373,2025-10-10,2025,56905,10,1.7573148229505318,0,0,0,0,0,0,1,1,0,7,0,0,0,1,0,0
ACN,0001467373,2024-10-10,2024,58461,24,4.105300969877354,0,0,0,0,0,0,14,1,0,9,0,0,0,0,0,0
ACN,0001467373,2023-10-12,2023,55667,20,3.5927928575277996,1,0,0,0,0,0,8,1,0,10,0,0,0,0,0,0
ADBE,0000796343,2026-01-15,2026,54309,50,9.20657717873649,3,4,0,0,0,0,21,0,0,1,0,1,0,14,5,1
ADBE,0000796343,2025-01-13,2025,58895,79,13.413702351642753,9,11,1,0,2,0,33,0,0,2,0,0,1,17,3,0
ADBE,0000796343,2024-01-17,2024,57590,63,10.939399201250216,9,12,1,0,2,0,23,0,0,3,0,0,1,8,3,1
ADBE,0000796343,2023-01-17,2023,58230,34,5.838914648806457,6,12,0,0,2,0,2,0,0,1,0,0,1,7,3,0
ADBE,0000796343,2022-01-21,2022,59430,26,4.374894834258792,6,7,0,0,2,0,0,0,0,1,0,0,1,7,2,0
ADBE,0000796343,2021-01-15,2021,70139,34,4.84751707324028,7,13,0,0,2,0,0,0,0,4,0,1,2,3,2,0
ADBE,0000796343,2020-01-21,2020,71044,34,4.7857665671977925,6,14,0,0,2,0,0,0,0,7,0,1,1,2,1,0
ADBE,0000796343,2019-01-25,2019,67116,20,2.979915370403481,2,8,0,0,0,0,0,0,0,8,0,1,0,1,0,0
ADBE,0000796343,2018-01-22,2018,64712,7,1.081715910495735,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AMD,0000002488,2026-02-04,2026,11055,2,1.8091361374943464,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AMD,0000002488,2026-02-04,2026,62476,19,3.04116780843844,2,4,0,0,0,0,9,0,0,2,0,0,0,1,1,0
AMD,0000002488,2025-02-05,2025,59823,17,2.841716396703609,3,2,0,0,0,0,9,0,0,1,0,0,0,0,2,0
AMD,0000002488,2024-01-31,2024,62666,13,2.0744901541505762,4,3,0,0,0,0,4,0,0,2,0,0,0,0,0,0
AMD,0000002488,2023-02-27,2023,62684,4,0.6381213706847043,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AMD,0000002488,2022-02-03,2022,56037,11,1.9629887395827756,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD,0000002488,2021-01-29,2021,59348,12,2.0219720967850643,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AMD,0000002488,2020-02-04,2020,59718,10,1.6745369905221206,0,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0
AMD,0000002488,2019-02-08,2019,70139,10,1.425740315658906,0,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0
AMD,0000002488,2018-02-27,2018,79490,11,1.3838218643854572,1,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0
AES,0000874761,2025-04-11,2025,3072,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,0000874761,2025-03-11,2025,145913,9,0.6168059048885294,6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
AES,0000874761,2024-02-26,2024,138067,5,0.36214301752047917,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AES,0000874761,2023-03-01,2023,140650,2,0.14219694276573053,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AES,0000874761,2022-02-28,2022,139402,1,0.07173498228145937,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AES,0000874761,2021-02-25,2021,131594,1,0.07599130659452559,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AES,0000874761,2020-02-28,2020,130811,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,0000874761,2019-02-27,2019,127074,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AES,0000874761,2018-02-27,2018,122352,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFL,0000004977,2025-02-26,2025,116686,3,0.25710025195824693,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFL,0000004977,2024-02-22,2024,121622,3,0.24666589926164675,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFL,0000004977,2023-02-24,2023,114659,2,0.1744302671399541,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AFL,0000004977,2022-02-23,2022,112215,2,0.1782292919841376,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AFL,0000004977,2021-02-23,2021,114889,1,0.08704053477704568,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AFL,0000004977,2020-02-21,2020,119973,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFL,0000004977,2019-02-25,2019,128046,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFL,0000004977,2018-02-23,2018,117529,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0001090872,2025-12-22,2025,81276,27,3.32201387863576,3,1,0,0,0,0,1,0,0,22,0,0,0,0,0,0
A,0001090872,2024-12-20,2024,78874,15,1.9017673758145903,4,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0
A,0001090872,2023-12-20,2023,74242,12,1.6163357668166265,4,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
A,0001090872,2022-12-21,2022,73572,13,1.766976567172294,5,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
A,0001090872,2021-12-17,2021,77045,12,1.5575313128691026,2,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
A,0001090872,2020-12-18,2020,74639,12,1.6077385817066145,2,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0
A,0001090872,2019-12-19,2019,76701,10,1.3037639665714917,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0
